Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Length (mm),Number of Males,Number of Females,Number Unsexed,Total Number
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,320,8483272,8330170,0,16813443
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,330,10712385,11319448,0,22031833
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,340,15876814,12631594,0,28508408
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,350,9984104,10415348,0,20399453
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,360,3836539,6435536,0,10272075
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,370,2301682,2637191,0,4938874
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,380,670408,1652577,0,2322985
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,390,104375,862765,0,967140
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,400,90329,73784,0,164113
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,410,36892,0,0,36892
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,212,Western Aleutians,101,200,W Western Aleutians,ALEUTIANS,NEITHER,420,28620,0,0,28620
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,270,1711094,0,0,1711094
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,280,6844375,0,0,6844375
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,290,8555469,3422188,0,11977657
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,300,30799689,5133282,0,35932971
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,310,37644065,22244220,0,59888285
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,320,15399845,6844375,0,22244220
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,330,20533126,5133282,0,25666408
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,340,3422188,6844375,0,10266563
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,350,3422188,8555469,0,11977657
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,360,3422188,13688751,0,17110939
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,370,17110939,15399845,0,32510783
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,380,22244220,10266563,0,32510783
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,390,25666408,6844375,0,32510783
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,221,Western Aleutians,1,100,E Western Aleutians,ALEUTIANS,NEITHER,400,13688751,6844375,0,20533126
